id;surtitre;titre
6691;DUCRUET C., ITOH H., JOLY O., 2014;Ports and the local embedding of commodity flows
6692;DUCRUET C., BEAUGUITTE L., 2014;Spatial science and network science: review and outcomes of a complex relationship
6693;DUCRUET C., JOLY O., LE CAM M., 2014;Europe in global maritime flows: gateways, forelands and subnetworks
6694;MUSIL C., NINOT O., BAFFI S., DREVELLE M. , 2014;Évolution des systèmes de transport urbain en périphérie du Cap et de Hanoi
6695;MOHAMED-CHERIF F.Z., DUCRUET C., 2014;L'insertion des villes portuaires maghrébines dans la circulation maritime mondiale
6696;DUCRUET C., 2014;Complex network measures applied to global maritime flows (1890-2010)
6697;JACOBS W., DUCRUET C., 2014;Histories, networks and port-city development: towards an evolutionary approach
6698;VACCHIANI-MARCUZZO C., PAULUS F., 2014;Innovation cycles and urban trajectories : co-evolution or divergence of french urban areas since the 1960's
6699;DUCRUET C., 2014;Mapping global urban interactions: maritime flows and port hierarchies since the late nineteenth century
6700;GIRAUT F., VACCHIANI-MARCUZZO C., 2014;Qu'est-ce qu'une petite ville sud-africaine? Entre townships, colonial settlements, suburbs et dumping grounds : Approches génétique et dynamique 
6701;SWERTS E., VACCHIANI-MARCUZZO C., PAULUS F., 2014;Scaling laws as a tool for characterizing the functional evolution in urban systems
6702;MAREÏ N., DUCRUET C., 2014;The Mediterranean basin between global and regional integration
6703;BARON M., BARRERA C., BIRCK F., 2014;Universités et Territoires, du passé faisons table rase ?
6704;TROUDE A., 2014;Le naufrage de la Yougoslavie:un processus de désintégration
6705;SANTAMARIA F., ELISSALDE B., FEREDJ A., 2014;L'Union européenne parle du développement des territoires
6706;ZANIN C., 2014;Inégalités de revenus et pauvreté en Europe
6707;ELISSALDE B., SANTAMARIA F., 2014;<em>Capitalization and dissemination of ESPON concepts</em>
6708;CUNNINGHAM-SABOT E., FOL S., ROTH H., 2014;Décroissance urbaine
6709;DESJARDINS X., MAULAT J., SYKES O., 2014;Introduction Linking rail and urban development: reflections on French and British experience
6710;BARLES S., 2014;L'écologie territoriale et les enjeux de la dématérialisation des sociétés : l'apport de l'analyse des flux de matières
6711;DESJARDINS X,MAULAT J., SYKES O., 2014;Linking rail and urban development: reflections on French and British experience 
6712;MAULAT J., KRAUSS A., 2014;Using contrats d'axe to coordinate regional rail transport, stations and urban development: from concept to practice
6713;DOUAY N., CORY T., 2014;Développement urbain durable en Chine : entre apprentissage et mirage marketing
6714;TROUDE A., 2014;Attractivité du territoire, patrimoine et gastronomie en Serbie
6715;TROUDE A., 2014;Les villages ethno de Serbie occidentale
6716;DEBRIE J., 2014;La prospective territoriale, une aventure interdisciplinaire : retour sur le projet Estuaires à venir (Centre Michel Serres)
6717;BEYER A., DEBRIE J. (dir), 2014;<em>Les métropoles fluviales. Concilier aménagement et logistique pour un développement urbain durable.</em>
6718;SCHMOLL C., 2014;Les mobilités féminines et leurs enjeux identitaires, économiques et politiques
6719;SCHMOLL C., 2014;Gendered geographies of Power in Borderland Europe
6720;SCHMOLL C., 2014;Il modello sud-europeo di migrazione. Per una prospettiva di genere
6721;SCHMOLL C., ANGLADE M.P., DEBARRE F., BOUASRIA L., CHEIKH M., MANRY V. (dir), 2014;<em>Expériences du genre. Intimités, marginalité, travail, migration</em>
6417;RIVIÈRE D., 2012;Régions, néo-régionalisme, quels enjeux pour la géographie ? Le cas italien
6796;PUMAIN D., 2014;Les effets structurants ou les raccourcis de l’explication géographique
6797;PUMAIN D., 2014;La ville mystérieuse
6799;PUMAIN D., 2013;Géographie-exploration
6801;PUMAIN D., 2014;Le modèle pour reconstruire une géographie théorique
6802;LOUAIL T.,  PUMAIN D., 2014;Interaction d’ontologies informatique et géographique pour simuler les dynamiques multiscalaires
6804;DUVAL P.P., GETTON F., PUMAIN D. , 2014;<em>Mobilité et Systèmes urbains durables</em>
6881;KOSMOPOULOS C., DASSA M., (dir), 2012;<em>Actes du colloque Evaluation des productions scientifiques. Des innovations en SHS ?</em>
6884;KOSMOPOULOS C., PUMAIN D., 2014;The coverage of HHS resulting from JournalBase and the prospect opened up by Open Access 
6883;KOSMOPOULOS C., 2015;Study on the quantitative assessment of performance in Social Sciences and Humanities
6882;KOSMOPOULOS C., 2015;<em>Study on the quantitative assessment of performance in Social Sciences and Humanities</em>
6885;DASSA M., KOSMOPOULOS C., 2013;<em>Les revues en SHS et leurs référencements dans le WOS, Scopus, l'AERES, ERIH</em>
6888;KOSMOPOULOS C., PUMAIN D., 2012;Cybergeo and the consumer Society
6923;KOSMOPOULOS, 2015;Report Project on Study on the quantitative assessment of performance in Social Sciences and Humanities
6924;KOSMOPOULOS et al, 2015;<em>Le libre accès : une révolution scientifique pour les pays du Sud ?</em>
6948;COMMENGES H., 2015;Mesurer les pratiques modales et la dépendance automobile : à la recherche de congruence entre mesure et interprétation
6949;PISTRE P., COMMENGES H., GUERRERO D., PROULHAC L., 2015;Définitions opérationnelles du temps pour l’analyse des données longitudinales
6950;ALBECKER M.-F., 2015;La banlieue parisienne, périphérie réinvestie ?
6951;BARLES S., 2015;L’urbanisme, le génie urbain et l’environnement : une lecture par la technique
6952;BARLES S., 2015;The Main Characteristics of Urban Socio-Ecological Trajectories: Paris (France) from the 18th to the 20th Century
6953;BARLES S., 2015;La boue, la voiture et l’amuseur public : les transformations de la voirie parisienne, fin XVIIIe-fin XIXe siècles 
6954;KENNEDY C. A., STEWART I., FACCHINI A., CERSOSIMO I., MELE R., CHEN B., UDA M., KANSAL A., CHIU A., KIM A., DUBEUX C., LEBRE LA ROVERE E., CUNHA B., PINCETL S., KEIRSTEADI J., BARLES S., PUSAKAK S., GUNAWAN J., ADEGBILE M., NAZARIHA M., HOQUE S., MARCOTULLIO P. J., GONZALEZ OTHARAN F., GENENA T., IBRAHIM N., FAROOQUI R., CERVANTES G., SAHIN A. D., 2015;Energy and material flows of megacities
6955;BARLES S., 2015;Book Review: Sustainable Urban Metabolism by Paulo Ferrão and John E. Fernández. 2013
6956;BOGNON S., MARTY P., 2015;La question alimentaire dans l'action publique locale. Analyse croisée des trajectoires municipales de Paris et de Brive-la-Gaillarde
6957;BRES A., DESJARDINS X., 2014;Quelles alternatives à l’automobile dans les espaces d’Entre-villes ? Une comparaison franco-allemande
6958;BRES A., 2014;Trains station in area of low density and scattered urbanisation
6959;BRES A., VANIER M., 2014;Adhérence des réseaux de circulation au Tiers-espace des régions urbaines : les figures d’une riveraineté de bord de route
6960;DEBRIE J., GUÉRIN A.L., 2015;Le critère de la grande vitesse dans la planification des infrastructures, vers un changement de référentiel ? Une lecture normande 
6961;BEZIAT A., DEBRIE J., HEITZ A., 2014;L’aménagement des corridors de transport : outil d’action publique ? Analyse comparative de l’axe Seine (France) et du corridor Ontario-Quebec
6962;DEBRIE J., 2014;Paris, ville portuaire ? Du quai d’Issy au pont de Tolbiac. Balade fluviale le long de la Seine » Urbanités
6963;DOUAY N., ROY-BAILLARGEON O., 2015;Le transit-oriented development (TOD), vecteur ou mirage des transformations de la planification et de la gouvernance métropolitaines du Grand Montréal ? 
6964;YANG Z., LONG Y., DOUAY N., 2015;Opportunities and limitations of big data applications to human and economic geography: the state of the art
6965;DOUAY N., 2015;Vancouverism: hybridisation and spread of an urban
6967;DOUAY N., 2014;Mouvements sociaux numériques et aménagement de l’espace
6968;DOUAY N., PRÉVOT M., 2014;Park(ing) Day : label international d’un activisme urbain édulcoré
6969;DESJARDINS X., DOUAY N., GAGNIÈRE V., 2013;Évolution des schémas, permanence des tracés : la planification de la région parisienne au prisme des réseaux ferroviaires 
6970;DESJARDINS X., DOUAY N. , 2015;Le duo « métropole-région » au regard des politiques d'aménagement du territoire depuis les années 1980 : une comparaison entre Paris et Marseille
6971;DUPUY G., 2013;Network geometry and the urban railway system: the potential benefits to geographers of harnessing inputs from naive outsiders
6972;DUPUY G., BENGUIGUI G.L., 2015;Sciences urbaines : interdisciplinarités passive, naïve, transitive, offensive
6973;DUPUY G., 2015;Compte-rendu Queiros-Condé D., Chaline J., Dubois J., 2015, Le monde des fractales, la nature trans-échelles, Paris, Ellipses, 476 p. (2ème édition)
6975;MORANGE M., FOL S., 2014;Ville, néolibéralisation et justice, introduction au numéro spécial
6976;JOUFFE Y., CAUBEL D., FOL S., MOTTE-BAUMVOL B., 2014;Faire face aux inégalités de mobilité. Tactiques, stratégies et projets des ménages pauvres en périphérie parisienne
6977;FROUILLOU L., 2014;Les écarts sociaux de recrutement des universités d’Île-de-France : un processus de ségrégation ?
6978;GÉNEAU de LAMARLIÈRE I., 2014;La géographie économique contemporaine entre fragmentations et recompositions
6979;RAAD L., 2015;Les paradoxes de la lutte contre l’habitat dégradé à Saint-Denis : favoriser la mixité sociale ou maintenir les classes populaires ?
6980;RAAD L., 2015;Investissement dans la vie locale des classes moyennes et appropriation de l’espace en banlieue rouge parisienne 
6981;BERROIR S., CLERVAL A., DELAGE M., FLEURY A., FOL S., GIROUD M., RAAD L., WEBER S. , 2015;Commerce de détail et changement social urbain : immigration, gentrification, déclin
6982;SANTAMARIA F., ELISSALDE B., 2015;Parlez-vous l’Européen ? Enquête sur quelques notions-clés de la politique régionale de l’Union européenne auprès d’acteurs français de l’aménagement 
6983;ELISSALDE B., SANTAMARIA F., 2014;Territorial cohesion and regional competitiveness: Defining key-notions in the EU's regional Policy
6984;HOUSSAY-HOLZSCHUCH M., THEBAULT E. , 2015;Dis-­?locating Public Space: Occupy Rondebosch Common, Cape Town.
6985;BEYER A., VERHAEGHE L., 2015;Rail-Voie d'eau, une combinaison contre-nature ? La desserte ferroviaire des ports franciliens et ses développements potentiels 
6986;VIANA CERQUEIRA E., 2014;A evolução das formas de gentrificação: estratégias comerciais locais e o contexto parisiense
6987;VIANA CERQUEIRA E., 2015;As novas lógicas de fortificação residencial nas periferias metropolitanas de Belo Horizonte: quais impactos sobre a segregação social ?
6988;BESSE J.-M., 2015;Le musical
6989;BESSE J.-M., 2015;Voisinages
6990;BESSE J.-M., 2014;Géographie psychique. L’espace comme sentiment
6991;BESSE J.-M., 2013;Sui passi di Sebastian Münster. Pratiche dello spazio e scrittura geografica nel Rinascimento
6992;CLERC P., 2014;Des connaissances pour l’action. La géographie coloniale de Marcel Dubois et Maurice Zimmermann
6993;CLERC P., 2015;En rangs
6994;DEBARRE S., 2015;La commission cartographique ottomane, de sa création à la première guerre mondiale (1909-1919)
6995;DEBARRE S., 2014;Géographies françaises et géographies allemandes, circulations et échanges - fin XIX-début XXe siècle -- Introduction 
6996;DEBARRE S., GINSBURGER N., 2014;Géographie  des  colonies,  Kolonialgeographie  ?  Praticiens  et  théoriciens  d’une  spécialité  disciplinaire émergente  dans  l’enseignement  supérieur  allemand  (1873-1919)  
7006;PIGAKI M., LEININGER-FREZAL C., 2014;Enseigner les disparités socio spatiales avec HyperAtlas : le cas de l'Union Européenne 
7007;LEININGER-FREZAL C., 2014;Une rhétorique des images du risque dans l’enseignement scolaire
7008;ORAIN O., 2015;Les années 68 des sciences humaines et sociales
7009;ORAIN O., 2015;Mai-68 et ses suites en géographie française
7010;ORAIN O., 2015;Une fertilisation paradoxale ? Bilan historiographique de l’incidence de Mai 68 sur les transformations des sciences de l’homme et de la société dans les années 1960-1970
7011;ORAIN O., 2015;À propos de Propositions destructives
7012;PALSKY G., 2013;Cartographie participative, cartographie indisciplinée
7013;PICHON M., 2015;Espace vécu, perceptions, cartes mentales : l’émergence d’un intérêt pour les représentations symboliques dans la géographie française (1966-1985)
7014;ROBIC M.-C., 2015;Annotations du séjour de Vidal de La Blache en Catalogne (1906)/Apunts de l’estada de Vidal de La Blache a Catalunya (1906) - Jubilations paysagères - Transcription 
7015;ROBIC M.-C., 2014;La réception de Friedrich Ratzel en France et ses usages au temps de l’installation de la géographie à l’Université (années 1880-1914) 
7016;ROBIC M.-C. , 2013;Conhecer seu Mundo. Os geógrafos e os saberes geográficos nos congressos internacionais: espacialidades e geografismos 
7017; ROBIC M.-C. , 2013;Connaître son monde. Les géographes et les savoirs géographiques en congrès internationaux : spatialités et géographismes
7018;ROSEMBERG M., 2014;Littérature et savoirs de l’espace, une expérience partagée du monde 
7019;BRENNETOT A., ROSEMBERG M., 2013;Géographie de l’Europe et géographie de la construction européenne. Les images contradictoires de l’Europe et de l’Union européenne dans quelques manuels de géographie contemporains
7020;SIMON D., 2015;Le paysage et l'artifice en géographie. De la physionomie terrestre au paysage humain chez Max Sorre
7021;VERDIER N., 2015;Entre diffusion de la carte et affirmation des savoirs géographiques en France : les paradoxes de la mise en place de la carte géographique au XVIIIe siècle
7022;VERDIER N., ROBERT S., 2015;Route, réseau, chevelu : une archéogéographie des lignes et des traces
7023;VERDIER N., 2013;La paradoxale circonscription intermédiaire infra-départementale : du district à l'arrondissement
7024;VERDIER N., OZOUF-MARIGNIER M.-V., 2013;Les mutations des circonscriptions territoriales françaises, Crise ou Mutation ? 
7025;BRETAGNOLLE A., VERDIER N., 2014;Les routes de la poste à cheval, de 1632 à 1833
7026;DEFFUANT G., BANOS A., CHAVALARIAS D., BERTELLE C., BRODU N., JENSEN P., LESNE A., MULLER JP., PERRIER E., VARENNE F., 2015;Visions de la complexité : le démon de Laplace dans tous ses états
7027;BANOS A., CORSON N., GAUDOU B., LAPERRIERE V., REY S., 2015;The Importance of Being Hybrid for Spatial Epidemic Models: A Multi-Scale Approach
7029;BAFFI S., 2014;Chemins de civilisation ? Le rail dans les politiques territoriales en Afrique du Sud
7030;BAFFI S., 2012;Pratiques d'une métropole émergente par les usagers des transports en commun, le cas du Cap, Afrique du Sud
7031;BRETAGNOLLE A., DELISLE F., MATHIAN H., VATIN G. , 2015;Urbanization of the United States over two centuries: an approach based on a long-term database (1790-2010)
7032;BRETAGNOLLE A., 2015;La naissance du périurbain comme catégorie statistique en France. Une perspective internationale
7033;BRETAGNOLLE A., 2014;Les effets structurants des transports, une question d’échelles ?
7034;CATTAN N., 2012;Trans-territoire.Repenser le lieu par les pratiques spatiales de populations en position de minorité
7035;CATTAN N., 2012;Les trans-territoires des employées de maison Sri-Lankaises à Beyrouth. Une transformation du payasage urbain
7036;CATTAN N. , 2012;Les portes d'entrée de la France et les systèmes territoriaux des flux. Une démarche prospective pour quatre scénarios
7037;CATTAN N., VANOLO A., 2014;Gay and lesbian emotional geography of clubbing:reflections from Paris and Turin
7038;CATTAN N., 2014;Repenser la territorialité. L'apport du croisement mobilité et genre
7039;COMMENGES H., PISTRE P., CURA R., 2014;SLIDER: Software for LongItudinal Data Exploration with R
7040;PUMAIN D., SWERTS E., COTTINEAU C., VACCHIANI-MARCUZZO C., IGNAZZI A., BRETAGNOLLE A., DELISLE F., CURA R., LIZZI L., BAFFI S., 2015;Multilevel comparison of large urban systems
7041;BUARD E., DEVOGELE T., DUCRUET C., 2015;Trajectoires des objets mobiles dans un espace support fixe
7042;DUCRUET C., ITOH H., 2015;Regions and material flows : Investigating the regional branching and industry relatedness of port traffic in a global perspective
7043;DUCRUET C., 2016;The polarization of global container flows by interoceanic canals : Geographic coverage and network vulnerability
7044;MOHAMED-CHERIF F.Z., DUCRUET C., 2015;Regional integration and maritime connectivity across the Maghreb seaport system
7045;DUCRUET C., ITOH H., JOLY O., 2015;Ports and the local embedding of commodity flows
7046;NG A.K.Y., DUCRUET C., JACOBS W., MONIOS J., NOTTEBOOM T.E., RODRIGUE J.P., SLACK B., TAM K.C., 2014;Port geography at the crossroads with human geography : between flows and spaces
7047;WANG C., DUCRUET C., 2014;Transport corridors and regional balance in China : The case of coal trade and logistics
7048;MAREI N., DUCRUET C., 2015;L’intégration économique de la Méditerranée par les réseaux maritimes et portuaires
7049;FRASER D.R., NOTTEBOOM T.E., DUCRUET C., 2016;Peripherality in the global container shipping network : the case of the Southern African container port system
7050;DESJARDINS X., FLEURY A., 2014;Les espaces publics dans les territoires de densités intermédiaires : conceptions, usages et potentialités
7051;FLEURY A., GOUTAILLER L., 2014;Lieux de culture et gentrification. Le cas de la Maison des métallos à Paris
7052;FOURNET-GUERIN C., VACCHIANI-MARCUZZO C., 2013;Vers de nouvelles interactions entre les Suds ? L'exemple des liens entre Madagascar et l'Afrique du Sud
7053;LE GOIX R., VESSELINOV E., 2015;Inequality Shaping Processes and Gated Communities in US Western Metropolitan Areas
7054;LE GOIX R., VESSELINOV E., 2013;Gated Communities and House Prices: Suburban Change in Southern California, 1980–2008
7055;MORGADO P., GOMES E., MARQUES DA COSTA N., 2014;Competing Visions? Simulating alternative coastal futures using a GIS-ANN web application
7056;ABRANTES P., FONTES I., GOMES E., ROCHA J., 2016;Compliance of land cover changes to municipal land use planning: evidence from the Lisbon Metropolitan Region (1990-2007)
7057;LEPESANT G., 2015;Fostering the Catching-Up Process of Central Europe: The Need for an Innovation-Oriented Cohesion Policy
7058;LEPESANT G., 2015;Entre européanisation et éclatement, quel modèle de développement pour l’Ukraine ?
7059;DULAUROY-LYNCH H., GRAVIER J., 2014;La synthèse archéologique urbaine, un travail de recherche au service des archéologues de la ville, l’exemple de Noyon
7060;GRASLAND C., GUERIN-PACE F., LE TEXIER M., GARNIER B., 2012;Dix ans de diffusion des euros étrangers en France
7061;BEAUGUITTE L., DIDELON C., GRASLAND C., 2012;Le projet EuroBroadMap : visions de l’Europe dans le monde
7062;GRASLAND C., 2012;Le “Pot Belge”: hommage amical à un pays modèle pour l’étude des facteurs d’intégration territoriale
7063;GRASLAND C., LE TEXIER M., 2015;Une famille de mesures d'intégration internationale des territoires. - Applications aux cas du commerce international (1995-2007) et de la diffusion des pièces euros étrangères en France (2002-2011)
7064;BENNARSR A., BARON M., DE RUFFAY S., GRASLAND C., GUERIN-PACE F., 2015;Dilemmes de la réforme régionale tunisienne
7065;GRASLAND C., 2012;Le chercheur et le militant : réflexions « à chaud » sur l’installation d’une centrale d’enrobés à Bonneuil-sur-Marne
7066;GUERIN-PACE F., TOUREILLE E., GRASLAND C., 2014;The world and Europe in the eyes of Turkish undergraduate students
7067;BRET B, RIVIÈRE D., 2015;Michel Rochefort, pour une géographie urbaine engagée 
7068;CHEREL G., COTTINEAU C., REUILLON R., 2015;Beyond corroboration : strengthening model validation by looking for unexpected patterns
7069;COTTINEAU C., CHAPRON P., REUILLON R., 2015;An incremental method for building and evaluating agent-based models of systems of cities
7070;COTTINEAU C., REUILLON R., CHAPRON P., REY S., PUMAIN D., 2015;A Modular Modelling Framework for Hypotheses Testing in the Simulation of Urbanisation
7071;FROHLICH K., SHARECK M., VALLEE J., ABEL T., AGOURI R., CANTINOTTI M., DANIEL M., DASSA C., DATTA G., GAGNE T., LECLERC B, KESTENS Y., O'LOUGHLIN J., POTVIN L. , 2015;Cohort Profile: The Interdisciplinary Study of Inequalities in Smoking (ISIS)
7072;GODILLON S., VALLEE J. , 2015;Inégalités socio-spatiales de risque d'accident en tant que piéton : un cumul de facteurs individuels et contextuels
7073;GUERIN-PACE F., TOUREILLE E., GRASLAND C. , 2014;The world and Europe in the eyes of Turkish undergraduate students
7074;HIRSCHHAUSEN B. von, GARRIDO C., HOCQUET M., 2015;Jenseits politischer Zäsuren? Berliner Phantomgrenzen in aktuellen Praktiken und Diskursen
7075;LAMBERT N., YSEBAERT, ZANIN C., 2015;Comprendre le territoire européen. Deux outils cartographiques à l’appui de la réflexion en aménagement du territoire
7076;LIVET P., PHAN D., SANDERS L., 2014;Diversité et complémentarité des modèles multi-agents en sciences sociales
7077;MATHIAN H., SANDERS L., 2015;Temporalités et objets géographiques
7078;PUMAIN D., 2014;Les effets structurants ou les raccourcis de l’explication géographique 
7079;PUMAIN D., 2014;La ville mystérieuse
7080;PUMAIN D., 2015;La Chine en avance dans la transition écologique des villes ? 
7081;PUMAIN D., SANDERS L., 2013;Theoretical principles in inter-urban simulation models: a comparison
7083;QUEVA C., 2014;L’Europe, entre foisonnement des territoires et modèles d’organisation territoriale
7084;QUEYROI F., KIRGIZOV S., 2015;Suppression Distance Computation for Hierarchical Clusterings
7085;REUILLON R., SCHMITT C., DE ALDAMA R., MOURET J.B., 2015;A New Method to Evaluate Simulation Models : The Calibration Profile (CP) Algorithm
7086;RUAS A., SANDERS L., 2015;Regards croisés sur la modélisation des dynamiques spatiales
7087;SANDERS L., 2013;Trois décennies de modélisation des systèmes de villes : sources d’inspiration, concepts, formalisations
7088;SANDERS L., 2015;Un cadre conceptuel pour modéliser les grandes transitions des systèmes de peuplement de 70 000 BP à aujourd’hui
7089;SCHMITT C., PUMAIN D., 2013;Modélographie multi-agents de la simulation des interactions sociétés-environnement et de l’émergence des villes
7090;SCHMITT C., REY,, REUILLON R., PUMAIN D., 2015;Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model
7091;SCHMOLL C., 2015;Gendered spatialities of power in Borderland Europe. An approach through mobile and immobilized bodies
7092;SCHMOLL C., DIRENBERGER, L., 2014;Ce que le genre fait à l'espace…et inversement
7093;SHARECK M., KESTENS Y., VALLEE J., DATTA G., FROHLICH K. , 2016;The added value of accounting for activity space when examining the association between tobacco retailers and smoking among young adults
7096;VACCHIANI-MARCUZZO C., 2014;Le Cap, Durban, Johannesburg : trois métropoles face au défi de la mondialisation 
7097;VALLEE J., FROHLICH K., KESTENS Y., SHARECK M. , 2014;Accès aux ressources et santé mentale à Montréal : l'importance de la mobilité quotidienne
7098;VIANA CERQUEIRA E., 2014;A evolução das formas de gentrificação: estratégias comerciais locais e o contexto parisiense
7100;VILA-VÁZQUEZ J.-I., 2013;Los espacios urbanos. El estudio geográfico de la ciudad y la urbanización
7101;VILA-VÁZQUEZ J.-I., TRILLO SANTAMARÍA, J.-M., PAÜL V., 2015;La recomposition des échelles territoriales en Galice (Espagne) : enjeu économique ou alibi idéologique ? 
7102;ZANIN C., 2014;Regards croisés sur l’enseignement de la sémiologie 
7103;BARLES S., 2014;Urban metabolism : persistent questions and current developements
7104;DUPUY G., 2014;L'avenir de la smart city
7105;BACQUE M.H., FOL S., 2014;Notices « Démolitions », « Effets de quartier » et « Mobilité géographique »
7106;FOL S., PHILIFERT P., 2014;Notice « Aménagement et Urbanisme »
7107;FROUILLOU L., 2015;Déconstruire l’opposition Paris/banlieue : une approche par la géographie des universités. Entretien avec Daniel Florentin
7108;SANTAMARIA F., 2014;Les villes moyennes angle-mort ou enjeu de l’aménagement du territoire ? 
7109;DEBARRE S., 2014;Sous le sceau du secret – La carte des environs de Constantinople de Colmar von der Goltz (1897)
7111;GRATALOUP C., 2014;Le gazon, tout un monde… 
7112;GRATALOUP C., 2014;Pourquoi la banane bleue est-elle courbe ?
7113;GRATALOUP C., 2014;« L’acier, nomade de l’Ancien Monde », 
7114;GRATALOUP C., 2015;A la source des épices, le Paradis
7115;GRATALOUP C., 2015;Les mers du Sud sont-elles situées au Nord ?
7116;GRATALOUP C., 2015;Pourquoi le rêve de Simon Bolivar s'est-il brisé ?
7117;GRATALOUP C., 2015;Le Brésil a-t-il été une île ?
7118;GRATALOUP C., 2015;Tasman, l'homme qui fit d'un continent (supposé) une île
7119;OLMEDO E., ROUX, J.-M., 2014;Conceptualité et sensibilité dans la carte sensible. Concepts au prisme de l’épistémologie de la cartographie
7120;OLMEDO E., 2012;Sinneswelten - Mondes sensibles et émotions. Compte-rendu du séminaire franco-allemand des jeunes chercheurs du CIERA
7121;ROBIC M.-C., 2013;A Criação dos Annales de géographie (1891). Estratégia Universitária e Geografia Humana
7122;DUCRUET C., 2015;Inter-Korean maritime flows : Beyond the border ?
7123;MOREL J.C., DUCRUET C., 2015;Interview - The man who brought containerisation to Europe
7124;DUCRUET C., 2015;Global maritime connectivity : A long-term perspective
7125;DUCRUET C., 2014;Réseau maritime mondial et hiérarchie portuaire
7126;FLEURY A., 2014;Vers une financiarisation de la production des espaces publics en Europe ?
7127;LE GOIX R., 2014;Lotissement
7128;LE GOIX R., 2013;Los Angeles, une métropole fragmentée
7129;LE GOIX R., VESSELINOV E., 2012;A typology of gated communities in US Western Metropolitan Areas -- working paper 
7130;HALBERT L., LE GOIX R., 2012;Capital financier et production urbaine
7131;LE GOIX R., 2015;Occupy Wall Street
7132;FOUCHER M., LEPESANT G., 2015;Pour une nouvelle politique des voisinages
7133;CHAUVIN P., VALLEE J., 2014;Inégalités de santé : dimensions individuelles et contextuelles
7134;SCHMOLL C., 2015;Note de lecture. Pensare e ripensare le migrazioni (Signorelli, A., Miranda, A.)
7135;SCHMOLL C., 2015;Note de lecture. Carceral Spaces (D. Moran, N. Gill, J Conlon)
7136;TROUDE A., 2015;Les Balkans occidentaux entre guerre énergétique, reconstruction politique et intégration euro-atlantique
7137;VALLEE J., 2014;Découper l'espace en fonction des pratiques spatiales des populations : une illusion?
7138;VALLEE J., 2014;Géographie de la santé et territorialisation des politiques
7139;ALBECKER M.-F., FOL S., 2013;The restructuring of shrinking surburbs in the Paris Region 
7140;AVELINE-DUBACH N., 2015;Gérer le vieillissement sous contrainte topographique dans le secteur des pentes de Nagasaki
7141;AVELINE-DUBACH N., 2015;Stratégie des groupes ferroviaires privés face au déclin urbain dans les agglomérations de Tokyo et Osaka 
7142;BARLES S., 2015;Écologie industrielle
7143;BARLES S., 2014;La ville gisement de ressources, fin XVIIIe-fin XIXe siècles. Excreta urbains, agriculture et industrie
7144;BARLES S., 2014;History of waste management and the social and cultural representations of waste
7145;BARLES S., 2014;Le métabolisme urbain
7146;BARLES S., GUILLERME A., 2014;Paris : a history of water, sewers, and urban development
7147;BRES A., SANJUAN T., 2013;Métropolisation et recomposition des espaces périurbains à Shanghai - Le cas du bourg de Yexie
7148;BRES A., MARIOLLE B., 2013;Eco-mobilités et urbanisation dispersée: les enseignements du « Carré picard »
7149;DOUAY N., 2015;Les données du web pour observer le débat public en aménagement : l’exemple de Marseille
7150;DOUAY N., 2015;Aménagement de l’espace et mouvements sociaux urbains à Hong Kong
7151;DOUAY N., PRÉVOT M., 2015;Reconfiguration des pratiques participatives - Le cas de “Carticipe”
7152;DOUAY N., 2014;Les usages du numérique dans le débat public
7153;DOUAY N., 2014;Construire le Grand Marseille : recompositions institutionnelles pour la définition de la métropole Aix-Marseille-Provence
7154;NADOU F., DOUAY N., DEMAZIERE C., 2014;Entre défi stratégique et contraintes institutionnelles pour la planification spatiale : le dialogue économie et environnement à Marseille et Nantes
7155;DUPUY G., 2013;Préface
7156;DUPUY G., 2013;La ville des réseaux à l'heure du développement durable
7157;DUPUY G., 2013;Du maillon manquant au maillon faible, heurs et malheurs de la ligne CGB Pontoise-Poissy
7158;DUPUY G., 2015;Préface
7159;FOL S., RAAD L., 2014;Les politiques de patrimonialisation comme support de gentrification en banlieue rouge ? Le centre ancien de Saint-Denis
7160;FOL S., MIOT Y., 2014;Ancrage, mobilités et régénération urbaine : les limites des injonctions politiques
7161;FOL S., 2014;Les impacts de la politique de rénovation urbaine
7162;FOL S., 2014;Une action publique, des acteurs publics
7163;FOL S., GALLEZ C., 2014;Social inequalities in urban access: better ways of assessing transport improvments
7164;BARON M., CHOPLIN A., DELAGE M., FROUILLOU L., VADELORGE L., , 2015;L'espace universitaire francilien, logiques planificatrices et pratiques étudiantes
7165;GIMAT M., 2015;Les organismes de logement social au croisement de l’action publique locale, des pratiques managériales et de l’entreprenariat social
7166;FOL S., RAAD L., 2014;Les politiques de patrimonialisation comme support de la gentrification en banlieue rouge ? Le centre ancien de Saint-Denis 
7167;BESSE J.-M., 2015;Les grandeurs de la terre. Aspects de la géographie européenne (XVIe-XVIIIe siècle)  
7168;BESSE J.-M., 2015;Le voyage, le témoignage, l’amitié : Abraham Ortelius et Georg Hoefnagel en Italie (hiver 1577-1578)
7169;BESSE J.-M., 2015;Le panorama : voir et connaître au XIXe siècle 
7170;BESSE J.-M., 2013;Les espaces du paysage 
7171;BESSE J.-M., 2013;Estar na paisagem, habitar, caminhar
7172;BESSE J.-M., 2013;Tra la geografia e l’etica : il paesaggio e la questione del benessere
